Unified Code Counter - U.S. Government Edition (UCC-G)
(c) Copyright 2015 - 2017 United States Government

LANGUAGE COUNT SUMMARY
Generated by USC CSSE Unified Code Counter - Java (UCC-J) 2018.05 (Based on UCC-G v.1.1.1) on 10/28/2023
UCC-G -dir src/main/java/com/utfpr/ 

Language,Number,Physical,Logical
Name,of Files,SLOC,SLOC
JAVA,3,190,145

Total,3,190,145
